date,etl_timestamp,NO_UNKNOWN,Yes
2020-03-18,2020-09-22 17:20:03,7,NA
2020-05-27,2020-09-22 17:20:03,144,43
2020-05-13,2020-09-22 17:20:03,191,54
2020-04-09,2020-09-22 17:20:03,441,142
2020-08-01,2020-09-22 17:20:03,57,14
2020-07-30,2020-09-22 17:20:03,129,7
2020-06-27,2020-09-22 17:20:03,97,15
2020-09-20,2020-09-22 17:20:03,45,NA
2020-08-08,2020-09-22 17:20:03,86,8
2020-08-11,2020-09-22 17:20:03,152,15
2020-06-03,2020-09-22 17:20:03,113,34
2020-08-30,2020-09-22 17:20:03,78,7
2020-08-14,2020-09-22 17:20:03,119,10
2020-05-07,2020-09-22 17:20:03,253,59
2020-07-12,2020-09-22 17:20:03,70,18
2020-06-14,2020-09-22 17:20:03,45,15
2020-07-14,2020-09-22 17:20:03,127,17
2020-04-28,2020-09-22 17:20:03,373,97
2020-08-25,2020-09-22 17:20:03,98,NA
2020-09-18,2020-09-22 17:20:03,90,NA
2020-08-13,2020-09-22 17:20:03,96,NA
2020-09-09,2020-09-22 17:20:03,61,NA
2020-06-24,2020-09-22 17:20:03,113,17
2020-03-14,2020-09-22 17:20:03,5,NA
2020-05-29,2020-09-22 17:20:03,178,28
2020-09-07,2020-09-22 17:20:03,50,NA
